contest_name,ward,candidate,votes,year,anc,smd
1A01,1,LISA KRALOVIC,374,2012,A,01
1A01,1,WRITE-IN,24,2012,A,01
1A02,1,ALEXANDER GALLO,295,2012,A,02
1A02,1,VICKEY A. WRIGHT-SMITH,432,2012,A,02
1A02,1,WRITE-IN,11,2012,A,02
1A03,1,STEVE SWANK,406,2012,A,03
1A03,1,WRITE-IN,36,2012,A,03
1A04,1,LAINA AQUILINE,430,2012,A,04
1A04,1,SENTAMU KIREMERWA,120,2012,A,04
1A04,1,WRITE-IN,18,2012,A,04
1A05,1,KEVIN HOLMES,440,2012,A,05
1A05,1,WRITE-IN,16,2012,A,05
1A06,1,KEVIN E. CLINESMITH,87,2012,A,06
1A06,1,PATRICK W. FLYNN,411,2012,A,06
1A06,1,WILLIAM "BILL" BROWN JR.,218,2012,A,06
1A06,1,WRITE-IN,9,2012,A,06
1A07,1,THOMAS BOISVERT,633,2012,A,07
1A07,1,WRITE-IN,44,2012,A,07
1A08,1,KENT C. BOESE,852,2012,A,08
1A08,1,WRITE-IN,14,2012,A,08
1A09,1,BOBBY HOLMES,495,2012,A,09
1A09,1,WRITE-IN,37,2012,A,09
1A10,1,ANTHONY CIMINO,554,2012,A,10
1A10,1,LENWOOD "LENNY" JOHNSON,250,2012,A,10
1A10,1,WRITE-IN,6,2012,A,10
1A11,1,DOTTI LOVE WADE,429,2012,A,11
1A11,1,MIRIAM Z. SAVAD,205,2012,A,11
1A11,1,WRITE-IN,16,2012,A,11
1A12,1,ROSALIND M. GILLIAM,322,2012,A,12
1A12,1,WRITE-IN,10,2012,A,12
1A12,1,ZACH TEUTSCH,233,2012,A,12
1B01,1,MARC MORGAN,655,2012,B,01
1B01,1,WRITE-IN,24,2012,B,01
1B02,1,JEREMY C. LEFFLER,797,2012,B,02
1B02,1,WRITE-IN,47,2012,B,02
1B03,1,SEDRICK MUHAMMAD,541,2012,B,03
1B03,1,WRITE-IN,32,2012,B,03
1B04,1,DEBORAH R. THOMAS,713,2012,B,04
1B04,1,WRITE-IN,50,2012,B,04
1B05,1,RICARDO A. REINOSO,566,2012,B,05
1B05,1,WRITE-IN,20,2012,B,05
1B06,1,DYANA FORESTER,628,2012,B,06
1B06,1,WRITE-IN,27,2012,B,06
1B07,1,JUAN E. LOPEZ,397,2012,B,07
1B07,1,WRITE-IN,22,2012,B,07
1B08,1,EMILY WASHINGTON,640,2012,B,08
1B08,1,WRITE-IN,34,2012,B,08
1B09,1,JAMES A. TURNER,555,2012,B,09
1B09,1,WRITE-IN,61,2012,B,09
1B10,1,TONY NORMAN,307,2012,B,10
1B10,1,WRITE-IN,17,2012,B,10
1B11,1,E. GAIL ANDERSON HOLNESS,404,2012,B,11
1B11,1,WRITE-IN,9,2012,B,11
1B12,1,DAN WITTELS,98,2012,B,12
1B12,1,ERLING (ERL) BAILEY,168,2012,B,12
1B12,1,JOHN C. GREEN,295,2012,B,12
1B12,1,WRITE-IN,16,2012,B,12
1B12,1,ZAHRA JILANI,329,2012,B,12
1C01,1,BRIAN HART,420,2012,C,01
1C01,1,ERIC CLIFTON,159,2012,C,01
1C01,1,JOSEPH MEIER,257,2012,C,01
1C01,1,WRITE-IN,11,2012,C,01
1C02,1,MARTIS "MARTY" DAVIS,761,2012,C,02
1C02,1,WRITE-IN,58,2012,C,02
1C03,1,JOSE SUEIRO,259,2012,C,03
1C03,1,TED GUTHRIE,511,2012,C,03
1C03,1,WRITE-IN,25,2012,C,03
1C04,1,GABRIELA MOSSI,879,2012,C,04
1C04,1,WRITE-IN,21,2012,C,04
1C05,1,ELHAM DEHBOZORGI,715,2012,C,05
1C05,1,WRITE-IN,35,2012,C,05
