contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,ward_ballots,over_votes,under_votes,ward_anc_votes,incumbent_name
1A01,2018,1,A,1,465,415,2,Layla Bonnot,260,10,30636,1,49,30594,Layla Bonnot
1A02,2018,1,A,2,859,763,2,Teresa A. Edmondson,387,8,30636,0,96,30594,Teresa A. Edmondson
1A03,2018,1,A,3,567,446,1,Zach Rybarczyk,437,9,30636,0,121,30594,Zach Rybarczyk
1A04,2018,1,A,4,689,544,1,Matthew Goldschmidt,515,29,30636,0,145,30594,Matthew Goldschimdt
1A05,2018,1,A,5,566,496,1,Christine Miller,478,18,30636,0,70,30594,Christine Miller
1A06,2018,1,A,6,902,757,1,Angelica Castanon,725,32,30636,0,145,30594,Angelica Castañon
1A07,2018,1,A,7,833,680,1,Jen Bundy,652,28,30636,0,153,30594,Jen Bundy
1A08,2018,1,A,8,1044,941,1,Kent C. Boese,914,27,30636,1,102,30594,Kent C. Boese
1A09,2018,1,A,9,721,609,1,Michael Wray,573,36,30636,0,112,30594,Michael Wray
1A10,2018,1,A,10,848,747,1,Rashida Brown,727,20,30636,0,101,30594,Rashida Brown
1A11,2018,1,A,11,642,554,1,Dotti Love Wade,519,35,30636,0,88,30594,Dotti Love Wade
1A12,2018,1,A,12,590,59,1,WRITE-IN,59,59,30636,0,531,30594,Jason Clock
1B01,2018,1,B,1,862,766,1,Anita Norman,734,32,30636,0,96,30594,Anita Norman
1B02,2018,1,B,2,1210,926,2,Dan Orlaskey,558,19,30636,1,283,30594,Dan Orlaskey
1B03,2018,1,B,3,697,570,1,Sedrick Muhammad,540,30,30636,0,127,30594,Sedrick Muhammad
1B04,2018,1,B,4,1007,784,1,Jon D. Squicciarini,749,35,30636,0,223,30594,Vacant
1B05,2018,1,B,5,887,644,2,James Cordes,322,25,30636,1,242,30594,James Cordes
1B06,2018,1,B,6,760,645,1,Jen Bristol,625,20,30636,0,115,30594,Jennifer Bristol
1B07,2018,1,B,7,412,324,1,Jessica Smith,305,19,30636,0,88,30594,Jessica Laura Smith
1B08,2018,1,B,8,738,595,1,Joshua R. Mater,581,14,30636,0,143,30594,Joshua R. Mater
1B09,2018,1,B,9,813,677,1,James A. Turner,642,35,30636,0,136,30594,James A. Turner
1B10,2018,1,B,10,364,322,1,Danny Delaney,298,24,30636,0,42,30594,Danny Delaney
1B11,2018,1,B,11,748,638,1,Robb Hudson,556,82,30636,0,110,30594,Robb Hudson
1B12,2018,1,B,12,1045,868,1,Dan Winston,847,21,30636,1,176,30594,Dan Winston
1C01,2018,1,C,1,1043,832,1,Amir Irani,808,24,30636,0,211,30594,Amir Irani
1C02,2018,1,C,2,1115,880,2,Bridget Pooley,502,17,30636,0,235,30594,Bridget Pooley
1C03,2018,1,C,3,921,742,1,Ted Guthrie,711,31,30636,1,178,30594,Ted Guthrie
1C04,2018,1,C,4,1006,779,1,Douglas Ely,747,32,30636,1,226,30594,Douglas Ely
1C05,2018,1,C,5,992,823,1,Damiana Dendy,780,43,30636,0,169,30594,Damiana Dendy
1C06,2018,1,C,6,1012,859,2,Michaela Wright,726,15,30636,1,152,30594,Michaela Wright
1C07,2018,1,C,7,972,831,2,Japer Bowles,485,14,30636,0,141,30594,Japer Bowles
1C08,2018,1,C,8,934,794,1,Amanda Fox Perry,765,29,30636,0,140,30594,Amanda Fox Perry
1D01,2018,1,D,1,973,792,1,Jon Stewart,754,38,30636,0,181,30594,Jon Stewart
1D02,2018,1,D,2,529,429,1,Robin Sandenburgh,416,13,30636,0,100,30594,Robin Sandenburgh
1D03,2018,1,D,3,1075,988,2,Jack McKay,564,7,30636,0,87,30594,Jack McKay
1D04,2018,1,D,4,777,565,2,Yasmin Romero-Latin,389,17,30636,0,212,30594,Yasmin Romero-Latin
1D05,2018,1,D,5,976,804,2,Chelsea A. Allinger,443,21,30636,0,172,30594,Chelsea A. Allinger
2A01,2018,2,A,1,123,104,1,Patrick Kennedy,98,6,23060,0,19,23002,Patrick Kennedy
2A02,2018,2,A,2,614,505,1,Nicole Goldin,490,15,23060,0,109,23002,Nicole Goldin
2A03,2018,2,A,3,496,397,1,Trupti J. Patel,367,30,23060,0,99,23002,Trupti J. Patel
2A04,2018,2,A,4,589,570,2,William K Smith,342,2,23060,0,19,23002,William Kennedy Smith
2A05,2018,2,A,5,273,229,1,Philip J. Schrefer,210,19,23060,1,43,23002,Philip J. Schrefer
2A06,2018,2,A,6,465,394,1,Jeri Epstein,381,13,23060,0,71,23002,Jeri Epstein
2A07,2018,2,A,7,156,132,1,Detrick D Campbell,126,6,23060,0,24,23002,Detrick Campbell
2A08,2018,2,A,8,109,21,1,WRITE-IN,21,21,23060,0,88,23002,James Harnett
2B01,2018,2,B,1,777,629,1,Matthew H Sampson,595,34,23060,0,148,23002,Matthew H Sampson
2B02,2018,2,B,2,634,539,1,Daniel Warwick,513,26,23060,0,95,23002,Daniel Warwick
2B03,2018,2,B,3,755,569,2,Lucky Barbieri,283,24,23060,0,186,23002,Lucky Barbieri
